unique_id,gc_switrs_col_pkey,cnn_intrsctn_fkey,cnn_sgmt_fkey,tb_latitude,tb_longitude,geocode_source,geocode_location,case_id_pkey,accident_year,proc_date,juris,collision_date,collision_time,time_cat,officer_id,reporting_district,day_of_week,chp_shift,population,cnty_city_loc,special_cond,beat_type,chp_beat_type,city_division_lapd,chp_beat_class,beat_number,primary_rd,secondary_rd,distance,direction,intersection,weather_1,weather_2,state_hwy_ind,caltrans_county,caltrans_district,state_route,route_suffix,postmile_prefix,postmile,location_type,ramp_intersection,side_of_hwy,tow_away,collision_severity,number_killed,number_injured,party_count,primary_coll_factor,pcf_code_of_viol,pcf_viol_category,pcf_violation,pcf_viol_subsection,hit_and_run,type_of_collision,mviw,ped_action,road_surface,road_cond_1,road_cond_2,lighting,control_device,chp_road_type,pedestrian_accident,bicycle_accident,motorcycle_accident,truck_accident,not_private_property,alcohol_involved,stwd_vehtype_at_fault,chp_vehtype_at_fault,count_severe_inj,count_visible_inj,count_complaint_pain,count_ped_killed,count_ped_injured,count_bicyclist_killed,count_bicyclist_injured,count_mc_killed,count_mc_injured,primary_ramp,secondary_ramp,latitude_switrs,longitude_switrs,mv_involved,mv_only_one,col_comb,dph_col_type,dph_col_grp,street_view
"39","39",24142000,"722000",37.7651986433249,-122.417229733255,SFPD-CROSSROADS,CITY STREET,"1995083","2005","20050727","3801","20050420","851",A,"2152",,Wednesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3D15A,16TH ST,S VAN NESS AV,74,East,Not Intersection,Cloudy,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Wrong Side of Road,"21650",,Not Hit and Run,Sideswipe,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7651986433249,-122.417229733255"
"303","303",22435000,"12774000",37.7459356551318,-122.450860384965,SFPD-CROSSROADS,CITY STREET,"2415127","2005","20060331","3801","20051112","1142",B,"805",F,Saturday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",0F1,TWIN PEAKS,PORTOLA,40,North,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,,"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7459356551318,-122.450860384965"
"344","344",27193000,,37.7661657875244,-122.460016419907,SFPD-CROSSROADS,CITY STREET,"2624857","2006","20060708","3801","20060327","1729",C,"725",F,Monday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","001",LINCOLN WY,KEZAR DR,0,"Not Stated, in Intersection",Intersection,Cloudy,Raining,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Automobile Right of Way,"21804",A,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Wet,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,,"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7661657875244,-122.460016419907"
"668","669",25138000,"5063000",37.7833791048531,-122.416980312485,SFPD-CROSSROADS,CITY STREET,"3049670","2007","20070609","3801","20070220","807",A,"1970",,Tuesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3J12A,EDDY ST,LARKIN,160,East,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Complaint of Pain),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Lane Change,"21658",A,Not Hit and Run,Sideswipe,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","0","1","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7833791048531,-122.416980312485"
"748","749",27149000,"360000",37.7640479575415,-122.464166233185,SFPD-CROSSROADS,CITY STREET,"3216691","2007","20071003","3801","20070523","1841",D,"1881",,Wednesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3I1D,7TH AV,IRVING ST,30,South,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","1",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Other,Non-Collision,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,"4",I,FF,"http://maps.google.com/maps?q=&layer=c&cbll=37.7640479575415,-122.464166233185"
"862","863",21306000,"9127000",37.7506266795708,-122.418286631313,SFPD-CROSSROADS,CITY STREET,"3309837","2007","20071228","3801","20070720","1312",B,"327",D,Friday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","3D115",MISSION ST,25TH ST,5,South,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,Yes,Injury (Complaint of Pain),"0","1","1",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Other,Non-Collision,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,Yes,Bicycle,Bicycle,"0","0","1","0","0","0","1","0","0","-","-",,,,,"4",I,FF,"http://maps.google.com/maps?q=&layer=c&cbll=37.7506266795708,-122.418286631313"
"960","961",26815000,"12344000",37.7850333335785,-122.441557351148,SFPD-CROSSROADS,CITY STREET,"3416587","2007","20080307","3801","20070924","2155",D,"1608",RICHM,Monday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3G11E,SUTTER ST,BRODERICK ST,6,West,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,"0",No,Yes,No,No,Yes,No,Not Stated,,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7850333335785,-122.441557351148"
"1019","1020",24333000,"7113000",37.7799363163162,-122.415156914791,SFPD-CROSSROADS,CITY STREET,"3496225","2007","20080620","3801","20071205","1535",C,"1384",3H,Wednesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",4B5E,HYDE ST,FULTON ST,54,North,Not Intersection,Cloudy,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Speed,"22350",,Not Hit and Run,Rear End,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,None,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7799363163162,-122.415156914791"
"1027","1028",24333000,"7114000",37.7814156759694,-122.415456811056,SFPD-CROSSROADS,CITY STREET,"3497585","2007","20080528","3801","20071118","23",E,"793",J,Sunday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0",3J12E,HYDE ST,GOLDEN GATE AV,88,South,Not Intersection,Cloudy,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Severe),"0","1","2",(Vehicle) Code Violation,Not Stated,Unsafe Lane Change,"21658",A,Not Hit and Run,Rear End,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,None,"0",No,Yes,No,No,Yes,Yes,Bicycle,Bicycle,"1","0","0","0","0","0","1","0","0","-","-",,,,,3 4,J,EE,"http://maps.google.com/maps?q=&layer=c&cbll=37.7814156759694,-122.415456811056"
"1342","1343",26324000,"3862000",37.7716170680742,-122.4438881392,SFPD-CROSSROADS,CITY STREET,"3892951","2008","20090303","3801","20080827","1912",D,"4203",PARK,Wednesday,Not CHP,Incorporated (over 250000),"3801",Not Above,Not CHP,Not CHP,,"0","003",CENTRAL ST,PAGE ST,95,North,Not Intersection,Clear,Not Stated,Not State Highway,,,,,,,Not State Highway,,Not Stated/Not State Highway,No,Injury (Other Visible),"0","1","2",(Vehicle) Code Violation,Not Stated,Wrong Side of Road,"21650","1",Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Not Stated,Daylight,Functioning,"0",No,Yes,No,No,Yes,No,Bicycle,Bicycle,"0","1","0","0","0","0","1","0","0","-","-",,,,,1 4,H,CC,"http://maps.google.com/maps?q=&layer=c&cbll=37.7716170680742,-122.4438881392"
