cnn_sgmt_pkey,street_name,full_street_name,class_code,duel_car_way_yn,corrected_length_miles,direction,facility_type,directionality,surface_type,barrier,innovation,orientation,sharrow,contraflow,install_year,duel_car_id
"136000",02ND,02ND ST,"4",NO,0.0364584164524,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,N/W,YES,NO,"0","0"
"136000",02ND,02ND ST,"4",NO,0.0364584164524,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,S/E,YES,NO,"0","0"
"137000",02ND,02ND ST,"4",NO,0.0410551658137,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,N/W,YES,NO,"0","0"
"137000",02ND,02ND ST,"4",NO,0.0410551658137,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,S/E,YES,NO,"0","0"
"6690000",HARNEY,HARNEY WAY,"4",NO,0.251613086923,,BIKE ROUTE,2W,,,,N/W,NO,NO,"0","0"
"6690000",HARNEY,HARNEY WAY,"4",NO,0.251613086923,,BIKE ROUTE,2W,,,,S/E,NO,NO,"0","0"
"6691000",HARNEY,HARNEY WAY,"4",NO,0.132441757834,,BIKE ROUTE,2W,,,,N/W,NO,NO,"0","0"
"6691000",HARNEY,HARNEY WAY,"4",NO,0.132441757834,,BIKE ROUTE,2W,,,,S/E,NO,NO,"0","0"
"19583000",OLD MASON,OLD MASON ST,"4",NO,0.173116985403,,BIKE PATH,2W,,,,N/W,NO,NO,"2003","0"
"19583000",OLD MASON,OLD MASON ST,"4",NO,0.173116985403,,BIKE PATH,2W,,,,S/E,NO,NO,"2003","0"
"19591000",PARK,PARK BLVD,"5",NO,0.0422060267804,,BIKE ROUTE,2W,,,,N/W,NO,NO,"0","0"
"19591000",PARK,PARK BLVD,"5",NO,0.0422060267804,,BIKE ROUTE,2W,,,,S/E,NO,NO,"0","0"
"180000",03RD,03RD ST,"3",NO,0.0705962724271,,BIKE ROUTE,2W,,,,N/W,YES,NO,"2010","0"
"180000",03RD,03RD ST,"3",NO,0.0705962724271,,BIKE ROUTE,2W,,,,S/E,YES,NO,"2010","0"
"181000",03RD,03RD ST,"3",NO,0.0557463024763,,BIKE ROUTE,2W,,,,N/W,YES,NO,"2010","0"
"181000",03RD,03RD ST,"3",NO,0.0557463024763,,BIKE ROUTE,2W,,,,S/E,YES,NO,"2010","0"
"138000",02ND,02ND ST,"4",NO,0.0627901946181,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,N/W,YES,NO,"0","0"
"138000",02ND,02ND ST,"4",NO,0.0627901946181,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,S/E,YES,NO,"0","0"
"139000",02ND,02ND ST,"4",NO,0.0570201515953,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,N/W,YES,NO,"0","0"
"139000",02ND,02ND ST,"4",NO,0.0570201515953,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,S/E,YES,NO,"0","0"
"140000",02ND,02ND ST,"4",NO,0.0784702290109,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,S/E,YES,NO,"0","0"
"140000",02ND,02ND ST,"4",NO,0.0784702290109,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,N/W,YES,NO,"0","0"
"141000",02ND,02ND ST,"4",NO,0.041363259524,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,N/W,YES,NO,"0","0"
"141000",02ND,02ND ST,"4",NO,0.041363259524,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,S/E,YES,NO,"0","0"
"142000",02ND,02ND ST,"4",NO,0.0249262995252,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,N/W,YES,NO,"0","0"
"142000",02ND,02ND ST,"4",NO,0.0249262995252,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,S/E,YES,NO,"0","0"
"143000",02ND,02ND ST,"4",NO,0.0166830710302,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,S/E,YES,NO,"0","0"
"143000",02ND,02ND ST,"4",NO,0.0166830710302,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,N/W,YES,NO,"0","0"
"144000",02ND,02ND ST,"4",NO,0.0187123878974,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,N/W,YES,NO,"0","0"
"144000",02ND,02ND ST,"4",NO,0.0187123878974,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,S/E,YES,NO,"0","0"
"145000",02ND,02ND ST,"4",NO,0.0177878425051,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,S/E,YES,NO,"0","0"
"145000",02ND,02ND ST,"4",NO,0.0177878425051,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,N/W,YES,NO,"0","0"
"146000",02ND,02ND ST,"4",NO,0.0415787336909,,BIKE ROUTE,2W,GREEN-BACKED SHARROWS,,,N/W,YES,NO,"0","0"
