gid,cnn_intrsctn_pkey,latitude,longitude,intrsctn_grp,intrsctn_type,x_street_comb
"0","20006000",37.70941911820,-122.38250569300,"0",INTERSECTIONS,JAMESTOWN AVE/HUNTERS POINT EXPY
"1","20010000",37.71555762060,-122.38943767500,"0",INTERSECTIONS,JAMESTOWN AVE
"2","20011000",37.71629821620,-122.38813051000,"0",INTERSECTIONS,GIANTS DR/INGERSON AVE
"3","20013000",37.71608698580,-122.38897780300,"0",INTERSECTIONS,GILROY ST/IGNACIO AVE
"4","20034000",37.72856817560,-122.37035235100,"0",INTERSECTIONS,DONAHUE ST/CLEO RAND AVE
"5","20039000",37.72925450480,-122.37258355500,"0",INTERSECTIONS,EARL ST/JERROLD AVE
"6","20041000",37.72987387480,-122.37200569800,"0",INTERSECTIONS,INNES AVE
"7","20044000",37.73017667720,-122.37421733400,"0",INTERSECTIONS,DORMITORY RD/JERROLD AVE/NORTHRIDGE RD
"8","20046000",37.72965969410,-122.37492808100,"0",INTERSECTIONS,KISKA RD/DORMITORY RD/KIRKWOOD AVE
"9","20051000",37.71568214370,-122.38197100400,"0",INTERSECTIONS,FITZGERALD AVE/DONAHUE ST
"10","20056000",37.73093607130,-122.37389036500,"0",INTERSECTIONS,ARELIOUS WALKER DR/INNES AVE
"11","20057000",37.73156106480,-122.37332627800,"0",INTERSECTIONS,ARELIOUS WALKER DR
"12","20058000",37.73001582740,-122.37720261300,"0",INTERSECTIONS,KISKA RD/REARDON RD
"13","20060000",37.73100987150,-122.37699954500,"0",INTERSECTIONS,NORTHRIDGE RD/HARBOR RD
"14","20061000",37.73338073350,-122.37993172600,"0",INTERSECTIONS,HARBOR RD/INGALLS ST
"15","20064000",37.72948884670,-122.38139912100,"0",INTERSECTIONS,BALDWIN CT/OAKDALE AVE
"16","20065000",37.72823178560,-122.37917473900,"0",INTERSECTIONS,GRIFFITH ST/OAKDALE AVE
"17","20066000",37.72894233360,-122.37854175100,"0",INTERSECTIONS,GRIFFITH ST/NAVY RD
"18","20067000",37.72636351620,-122.38081711200,"0",INTERSECTIONS,REVERE AVE/GRIFFITH ST
"19","20070000",37.72510825160,-122.38193850000,"0",INTERSECTIONS,THOMAS AVE/GRIFFITH ST
"20","20072000",37.72778541360,-122.37999185800,"0",INTERSECTIONS,CRISP RD/PALOU AVE
"21","20073000",37.72761779390,-122.37969655700,"0",INTERSECTIONS,GRIFFITH ST/PALOU AVE
"22","20074000",37.72780466250,-122.38169092300,"0",INTERSECTIONS,CRISP RD/QUESADA AVE
"23","20075000",37.72699065630,-122.38025683900,"0",INTERSECTIONS,GRIFFITH ST/QUESADA AVE
"24","20076000",37.72721672870,-122.38232027800,"0",INTERSECTIONS,REVERE AVE/CRISP RD
"25","20077000",37.73110941550,-122.37955189300,"0",INTERSECTIONS,INGALLS ST/KISKA RD
"26","20078000",37.73167941120,-122.37934710900,"0",INTERSECTIONS,INGALLS ST/NORTHRIDGE RD/ROSIE LEE LN
"27","20081000",37.73071900560,-122.37990119300,"0",INTERSECTIONS,INGALLS ST/BEATRICE LN
"28","20082000",37.73090117510,-122.38014904900,"0",INTERSECTIONS,ESPANOLA ST/BEATRICE LN
"29","20083000",37.73128290350,-122.37993438000,"0",INTERSECTIONS,ESPANOLA ST/MATTHEW CT
"30","20084000",37.73170169840,-122.37968366700,"0",INTERSECTIONS,ESPANOLA ST/ROSIE LEE LN
"31","20085000",37.73246457240,-122.37959606300,"0",INTERSECTIONS,HUDSON AVE/INGALLS ST
"32","20086000",37.73403385260,-122.38128418200,"0",INTERSECTIONS,BERTHA LN/HARBOR RD
"33","20087000",37.73242217450,-122.38018458900,"0",INTERSECTIONS,HUDSON AVE/BERTHA LN
"34","20089000",37.73138778770,-122.38114651100,"0",INTERSECTIONS,BEATRICE LN/LILLIAN ST
"35","20090000",37.73207905200,-122.38052891400,"0",INTERSECTIONS,LILLIAN ST/ROSIE LEE LN
"36","20092000",37.71840736400,-122.38515706200,"0",INTERSECTIONS,ARELIOUS WALKER DR/EGBERT AVE
"37","20093000",37.72074631270,-122.38586906800,"0",INTERSECTIONS,CARROLL AVE
"38","20096000",37.71823564290,-122.38813686700,"0",INTERSECTIONS,GRIFFITH ST/GILMAN AVE
"39","20097000",37.71750900160,-122.38684966700,"0",INTERSECTIONS,GIANTS DR/GILMAN AVE
"40","20098000",37.72005454760,-122.38560901200,"0",INTERSECTIONS,CAMERON WAY/GRIFFITH ST
"41","20099000",37.72012444550,-122.38856405500,"0",INTERSECTIONS,CAMERON WAY/NICHOLS WAY
"42","20100000",37.72035702490,-122.38624313800,"0",INTERSECTIONS,CAMERON WAY/NICHOLS WAY
"43","20101000",37.71687930400,-122.38913596200,"0",INTERSECTIONS,INGERSON AVE/GILROY ST
"44","20102000",37.71749791480,-122.39020502600,"0",INTERSECTIONS,INGERSON AVE
"45","20103000",37.71696129510,-122.38927765500,"0",INTERSECTIONS,GRIFFITH ST/INGERSON AVE
"46","20104000",37.71967750020,-122.38913920100,"0",INTERSECTIONS,CAMERON WAY/FITZGERALD AVE
"47","20105000",37.71876049810,-122.38766133300,"0",INTERSECTIONS,GRIFFITH ST/FITZGERALD AVE
"48","20107000",37.71992742620,-122.38945904500,"0",INTERSECTIONS,HAWES ST/FITZGERALD AVE
"49","20108000",37.72069280470,-122.38805581900,"0",INTERSECTIONS,CAMERON WAY/DOUBLE ROCK ST
"50","20110000",37.72181325960,-122.38774624700,"0",INTERSECTIONS,CARROLL AVE
"51","20111000",37.72117507040,-122.38833333100,"0",ENDS,DONNER AVE
"52","20112000",37.72303967280,-122.38662765600,"0",ENDS,HAWES ST
"53","20113000",37.72410023440,-122.38849620800,"0",INTERSECTIONS,INGALLS ST/ARMSTRONG AVE
"54","20114000",37.72348161910,-122.38905268100,"0",INTERSECTIONS,BANCROFT AVE/INGALLS ST
"55","20116000",37.72573637290,-122.38137737400,"0",INTERSECTIONS,GRIFFITH ST/SHAFTER AVE
"56","20117000",37.72805144410,-122.38212570600,"0",INTERSECTIONS,HAWES ST/QUESADA AVE
"57","20118000",37.72867801290,-122.38156441500,"0",INTERSECTIONS,HAWES ST/PALOU AVE
"58","20119000",37.72679829770,-122.38324826200,"0",INTERSECTIONS,SHAFTER AVE/HAWES ST
"59","20120000",37.72742487220,-122.38268699000,"0",INTERSECTIONS,REVERE AVE/HAWES ST
"60","20121000",37.72617077940,-122.38381036900,"0",INTERSECTIONS,HAWES ST/THOMAS AVE
"61","20124000",37.72785999350,-122.38511885100,"0",INTERSECTIONS,INGALLS ST/SHAFTER AVE
"62","20125000",37.72848584910,-122.38455630600,"0",INTERSECTIONS,INGALLS ST/REVERE AVE
"63","20126000",37.73058171860,-122.38143938900,"0",INTERSECTIONS,INGALLS ST/LA SALLE AVE
"64","20127000",37.73061959260,-122.38227021800,"0",INTERSECTIONS,INGALLS ST/GEORGE CT
"65","20128000",37.73117466080,-122.38160814300,"0",INTERSECTIONS,LA SALLE AVE/WHITFIELD CT
"66","20131000",37.73034197130,-122.38288787200,"0",INTERSECTIONS,INGALLS ST/OAKDALE AVE
"67","20132000",37.73152913570,-122.38194855700,"0",INTERSECTIONS,LA SALLE AVE/OSCEOLA LN
"68","20135000",37.72911170300,-122.38399374900,"0",INTERSECTIONS,INGALLS ST/QUESADA AVE
