gid,cnn_sgmt_pkey,street_name,street_type,full_street_name,street_layer,class_code,duel_car_way_yn,gis_length_miles,duel_car_way_id,corrected_length_miles,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,shape_length,sgmt_trnsprtn_pkey,daily_ride_qrt,daily_ride_eght,speed_avg_mta
191,100000,01ST,ST,01ST ST,STREETS,3,NO,0.043356253,0,0.043356255,30731000,24666000,88.37648116,100,143701,36333,
192,101000,01ST,ST,01ST ST,STREETS,3,NO,0.033331531,0,0.033331557,24666000,24564000,67.94193472,101,124386,27553,
193,102000,01ST,ST,01ST ST,STREETS,3,NO,0.017145618,0,0.017145586,24564000,24530000,34.94894716,102,118965,22658,
194,103000,01ST,ST,01ST ST,STREETS,3,NO,0.028235265,0,0.028235279,24530000,24563000,57.55348389,103,119853,19794,
195,104001,01ST,ST,01ST ST,STREETS,3,NO,0.023623285,0,0.02362328,24563000,54001000,48.15246351,104,82917,12656,
196,104002,01ST,ST,01ST ST,STREETS,3,NO,0.018227264,0,0.018227263,54001000,24542000,37.15339016,105,82433,24254,
197,105000,01ST,ST,01ST ST,STREETS,3,NO,0.035984939,0,0.03598495,24542000,24534000,73.34932316,106,81940,24254,
198,106000,01ST,ST,01ST ST,STREETS,3,NO,0.041566553,0,0.041566561,24534000,24532000,84.72606702,107,78643,22956,
199,107000,01ST,ST,01ST ST,STREETS,3,NO,0.043187326,0,0.043187328,24532000,24528000,88.02926498,108,62534,24511,
200,108001,01ST,ST,01ST ST,STREETS,3,NO,0.036458413,0,0.036458392,24528000,24526000,74.31319674,109,43461,17884,
201,110000,01ST,ST,01ST ST,STREETS,3,NO,0.040829697,0,0.040829748,24526000,24522000,83.22267838,110,46819,17896,
202,111000,01ST,ST,01ST ST,STREETS,3,NO,0.043455409,0,0.043455415,24522000,24500000,88.57418488,111,46359,2164,
203,112000,01ST,ST,01ST ST,STREETS,3,NO,0.036931806,0,0.03693178,24500000,24499000,75.27685654,112,44170,2164,
204,113000,01ST,ST,01ST ST,STREETS,3,NO,0.039401658,0,0.039401667,24499000,24494000,80.31065407,113,42885,1386,
205,114000,01ST,ST,01ST ST,STREETS,5,NO,0.053784061,0,0.053784071,24494000,50034000,109.6243576,114,42394,1386,
206,115001,DELANCEY,ST,DELANCEY ST,STREETS,5,NO,0.031676358,0,0.031676388,35003000,24478000,64.60200721,115,20206,0,
207,116001,DELANCEY,ST,DELANCEY ST,STREETS,5,NO,0.028172417,0,0.02817241,24478000,54007000,57.42049875,116,19420,0,
208,116002,DELANCEY,ST,DELANCEY ST,STREETS,5,NO,0.050007878,0,0.050007878,54007000,23600000,101.9245842,117,17987,0,
209,117000,DELANCEY,ST,DELANCEY ST,STREETS,5,NO,0.072120423,0,0.072120476,23600000,50091000,146.9924938,118,13063,0,
210,118000,02ND,AVE,02ND AVE,STREETS,5,NO,0.026467729,0,0.026467763,51403000,27579000,54.0605604,119,27927,9758,
211,119000,02ND,AVE,02ND AVE,STREETS,5,NO,0.091677766,0,0.091677731,27579000,27577000,187.2504705,120,36204,16813,
212,120000,02ND,AVE,02ND AVE,STREETS,5,NO,0.036767795,0,0.036767831,27577000,27565000,75.09673353,121,36204,17980,
213,121000,02ND,AVE,02ND AVE,STREETS,5,NO,0.129149017,0,0.129149015,27565000,27246000,263.7775853,122,80516,21840,
214,122000,02ND,AVE,02ND AVE,STREETS,5,NO,0.132828997,0,0.132829022,27246000,27231000,271.2867398,123,97110,40681,
215,123000,02ND,AVE,02ND AVE,STREETS,5,NO,0.133374019,0,0.133374031,27231000,27226000,272.3928098,124,89901,35654,
216,124000,02ND,AVE,02ND AVE,STREETS,5,NO,0.127986523,0,0.127986523,27226000,27224000,261.3830993,125,67077,7309,
217,125000,02ND,AVE,02ND AVE,STREETS,5,NO,0.128721111,0,0.12872114,27224000,27212000,262.8768074,126,34047,10596,
29,126000,02ND,AVE,02ND AVE,STREETS,5,NO,0.096677179,0,0.096677163,27212000,27210000,197.4317546,127,27857,10220,
30,127000,02ND,AVE,02ND AVE,STREETS,5,NO,0.065703295,0,0.065703277,27181000,27070000,134.1615483,128,29935,5029,
31,128000,02ND,AVE,02ND AVE,STREETS,5,NO,0.064817508,0,0.064817514,27070000,27068000,132.3511637,129,32437,15109,
