Segment,Cluster
20006000,1
20010000,3
20011000,3
20013000,1
20034000,2
20039000,5
20041000,1
20044000,1
20046000,5
20056000,1
20057000,1
20058000,1
20060000,3
20061000,1
20064000,5
20065000,3
20066000,3
20067000,0
20070000,3
20072000,1
20073000,0
20074000,5
20075000,3
20076000,3
20077000,5
20078000,1
20081000,1
20082000,5
20083000,4
20084000,5
20085000,1
20086000,5
20087000,1
20089000,6
20090000,4
20092000,3
20093000,3
20096000,0
20097000,5
20098000,4
20101000,1
20102000,0
20103000,5
20104000,1
20107000,3
20110000,3
20111000,3
20112000,3
20113000,0
20114000,1
20116000,0
20117000,0
20118000,6
20119000,0
20120000,4
20121000,5
20124000,0
20125000,0
20126000,1
20127000,1
20128000,1
20131000,1
20132000,1
20135000,4
20136000,1
20137000,5
20138000,6
20140000,5
20142000,0
20144000,0
20145000,0
20146000,0
20148000,0
20149000,0
20150000,6
20151000,0
20152000,0
20153000,0
20154000,0
20155000,0
20156000,0
20157000,5
20158000,6
20159000,4
20160000,4
20161000,2
20162000,1
20163000,1
20164000,1
20168000,1
20170000,3
20172000,5
20175000,3
20177000,1
20178000,5
20180000,5
20181000,1
20182000,1
20185000,1
20188000,1
20189000,1
20191000,1
20193000,1
20196000,1
20197000,3
20198000,1
20200000,3
20201000,3
20203000,1
20204000,4
20205000,5
20207000,3
20208000,0
20209000,5
20210000,5
20211000,4
20212000,5
20213000,5
20215000,5
20216000,5
20218000,6
20219000,5
20220000,1
20222000,5
20223000,5
20224000,5
20225000,0
20226000,4
20227000,3
20228000,4
20229000,1
20230000,6
20231000,0
20232000,1
20234000,5
20236000,5
20237000,5
20238000,1
20239000,1
20240000,1
20241000,3
20242000,5
20243000,5
20244000,1
20245000,1
20246000,5
20247000,1
20250000,3
20252000,5
20257000,1
20258000,3
20259000,1
20262000,1
20263000,1
20264000,6
20267000,5
20268000,3
20269000,6
20271000,4
20272000,1
20273000,1
20274000,5
20281000,0
20282000,6
20284000,5
20285000,6
20288000,0
20289000,0
20291000,3
20295000,6
20296000,6
20298000,3
20299000,3
20300000,2
20301000,1
20302000,2
20303000,4
20304000,4
20305000,6
20306000,5
20308000,0
20310000,0
20313000,3
20314000,5
20315000,3
20316000,4
20319000,4
20320000,2
20321000,6
20322000,0
20323000,6
20324000,5
20325000,4
20328000,2
20329000,3
20330000,3
20332000,4
20333000,5
20334000,6
20338000,4
20340000,5
20341000,4
20342000,6
20344000,4
20345000,0
20347000,5
20348000,6
20349000,6
20352000,1
20353000,1
20355000,2
20356000,4
20357000,0
20358000,5
20359000,6
20360000,0
20361000,4
20362000,6
20363000,5
20364000,4
20365000,6
20366000,6
20369000,0
20370000,4
20371000,6
20372000,4
20373000,0
20375000,3
20376000,4
20377000,6
20378000,6
20379000,5
20380000,4
20381000,4
20382000,4
20383000,4
20384000,0
20385000,6
20386000,6
20387000,4
20390000,6
20392000,6
20393000,0
20394000,0
20395000,0
20400000,0
20401000,5
20402000,0
20403000,0
20404000,4
20405000,0
20406000,0
20407000,0
20408000,3
20409000,5
20410000,6
20411000,0
20412000,4
20413000,6
20414000,6
20416000,0
20421000,3
20422000,1
20423000,1
20424000,4
20425000,0
20426000,6
20427000,1
20428000,3
20429000,6
20430000,0
20431000,1
20432000,5
20433000,5
20434000,2
20436000,0
20438000,5
20439000,3
20441000,4
20442000,6
20443000,4
20444000,0
20445000,2
20446000,4
20447000,0
20448000,0
20449000,0
20450000,5
20451000,0
20452000,3
20453000,0
20454000,0
20455000,5
20456000,0
20457000,5
20458000,5
20459000,5
20460000,0
20461000,5
20463000,4
20465000,5
20466000,5
20467000,0
20469000,0
20470000,0
20471000,0
20472000,0
20473000,0
20475000,0
20476000,3
20477000,5
20478000,0
20479000,3
20480000,4
20481000,0
20482000,0
20483000,0
20484000,4
20485000,5
20486000,0
20487000,0
20488000,0
20489000,5
20490000,0
20491000,0
20492000,3
20493000,5
20494000,5
20495000,2
20496000,5
20497000,4
20498000,0
20499000,6
20500000,6
20501000,6
20502000,5
20503000,0
20504000,5
20505000,0
20506000,6
20507000,5
20508000,3
20510000,0
20511000,0
20512000,4
20513000,3
20514000,0
20515000,0
20517000,1
20520000,0
20521000,0
20522000,6
20523000,0
20524000,5
20525000,5
20526000,0
20527000,3
20528000,4
20529000,4
20530000,5
20531000,6
20532000,6
20533000,0
20534000,1
20535000,0
20537000,4
20538000,4
20539000,2
20540000,6
20541000,0
20542000,4
20546000,6
20548000,0
20550000,5
20552000,5
20554000,4
20555000,4
20556000,0
20557000,4
20558000,6
20559000,4
20560000,6
20561000,5
20562000,3
20563000,4
20564000,3
20565000,3
20566000,6
20568000,4
20569000,1
20570000,2
20571000,6
20572000,6
20573000,2
20574000,3
20575000,2
20576000,5
20577000,0
20578000,6
20579000,0
20580000,4
20581000,5
20582000,5
20583000,6
20584000,6
20585000,4
20586000,6
20587000,6
20588000,4
20589000,2
20590000,6
20591000,5
20592000,4
20593000,4
20594000,3
20596000,0
20597000,6
20598000,4
20599000,4
20600000,2
20601000,6
20602000,0
20603000,4
20604000,6
20606000,6
20608000,1
20609000,0
20610000,0
20612000,0
20613000,3
20614000,0
20615000,6
20617000,6
20618000,3
20619000,0
20620000,5
20621000,6
20622000,0
20623000,0
20624000,6
20625000,0
20626000,0
20628000,0
20631000,2
20633000,4
20637000,6
20638000,4
20639000,0
20640000,0
20641000,4
20642000,0
20643000,3
20644000,6
20645000,4
20646000,5
20647000,3
20650000,6
20651000,4
20652000,0
20653000,4
20654000,3
20655000,3
20656000,1
20657000,5
20659000,4
20660000,4
20661000,4
20662000,0
20663000,1
20664000,5
20665000,5
20666000,3
20667000,3
20668000,4
20669000,2
20670000,0
20671000,0
20672000,0
20673000,6
20674000,0
20675000,3
20676000,0
20677000,4
20679000,0
20680000,4
20681000,0
20682000,1
20683000,2
20684000,5
20687000,4
20688000,6
20690000,0
20691000,5
20692000,3
20694000,5
20695000,2
20696000,6
20697000,4
20700000,1
20703000,3
20704000,0
20707000,5
20708000,3
20712000,0
20716000,3
20717000,0
20723000,3
20724000,0
20725000,3
20726000,3
20727000,0
20730000,3
20731000,3
20732000,2
20733000,6
20734000,3
20735000,4
20736000,0
20737000,0
20738000,4
20739000,2
20740000,6
20741000,6
20742000,0
20743000,6
20744000,0
20745000,4
20747000,6
20748000,0
20749000,0
20751000,5
20753000,4
20754000,5
20755000,0
20756000,0
20757000,0
20758000,0
20759000,3
20760000,0
20761000,0
20762000,5
20763000,0
20764000,0
20765000,5
20766000,6
20767000,6
20769000,3
20770000,3
20771000,6
20772000,6
20773000,0
20776000,3
20777000,0
20779000,0
20783000,3
20785000,1
20788000,3
20790000,6
20791000,5
20793000,0
20794000,0
20795000,0
20796000,0
20798000,0
20799000,0
20800000,3
20801000,3
20802000,3
20803000,5
20804000,3
20805000,3
20806000,3
20807000,0
20808000,0
20809000,0
20810000,0
20811000,5
20812000,0
20813000,0
20814000,0
20815000,0
20816000,0
20817000,3
20820000,3
20821000,3
20822000,0
20824000,0
20825000,1
20827000,5
20828000,5
20830000,5
20831000,0
20833000,6
20834000,3
20835000,1
20837000,1
20838000,6
20841000,5
20842000,3
20843000,4
20844000,6
20846000,6
20847000,6
20851000,3
20852000,6
20853000,6
20854000,3
20855000,4
20856000,1
20858000,5
20859000,3
20861000,2
20863000,4
20864000,0
20865000,6
20866000,5
20867000,3
20868000,1
20869000,0
20870000,3
20871000,5
20872000,1
20874000,3
20875000,6
20876000,4
20877000,0
20878000,5
20879000,1
20880000,1
20881000,3
20882000,1
20883000,5
20884000,1
20885000,4
20886000,0
20887000,4
20888000,6
20889000,0
20890000,5
20891000,6
20892000,6
20893000,6
20894000,6
20895000,0
20896000,2
20897000,4
20899000,2
20900000,4
20901000,4
20902000,4
20903000,0
20904000,3
20905000,4
20907000,0
20908000,4
20909000,0
20910000,2
20911000,6
20912000,0
20913000,6
20914000,6
20915000,6
20916000,4
20917000,3
20918000,3
20919000,6
20920000,5
20921000,6
20922000,6
20923000,0
20924000,4
20925000,4
20926000,0
20927000,4
20928000,3
20929000,4
20930000,4
20931000,3
20932000,3
20934000,4
20935000,4
20936000,4
20938000,1
20939000,4
20941000,6
20942000,1
20943000,2
20944000,3
20945000,4
20948000,1
20949000,1
20950000,5
20952000,2
20953000,2
20954000,6
20955000,3
20957000,6
20959000,6
20960000,6
20961000,6
20962000,4
20963000,6
20964000,0
20965000,2
20966000,4
20967000,4
20968000,6
20969000,0
20970000,2
20972000,6
20973000,6
20974000,6
20976000,0
20978000,0
20979000,6
20980000,3
20981000,4
20982000,3
20983000,6
20984000,6
20985000,6
20986000,1
20987000,4
20988000,4
20989000,0
20990000,4
20991000,6
20992000,6
20994000,5
20996000,0
20999000,3
21000000,5
21002000,0
21003000,0
21004000,0
21006000,6
21007000,0
21008000,0
21009000,6
21010000,0
21011000,4
21012000,3
21013000,2
21017000,3
21018000,2
21020000,3
21021000,2
21022000,3
21023000,0
21026000,4
21029000,4
21030000,6
21033000,5
21036000,0
21037000,3
21039000,0
21043000,3
21044000,1
21045000,1
21046000,6
21047000,5
21048000,6
21050000,3
21051000,0
21052000,2
21053000,3
21054000,4
21055000,1
21056000,4
21057000,6
21058000,0
21059000,4
21060000,0
21061000,2
21062000,3
21063000,6
21064000,3
21065000,3
21066000,3
21067000,3
21068000,4
21069000,1
21070000,0
21071000,6
21073000,4
