Segment,Cluster
20006000,9
20010000,9
20011000,8
20013000,9
20034000,5
20039000,4
20041000,9
20044000,6
20046000,4
20056000,6
20057000,6
20058000,6
20060000,0
20061000,9
20064000,4
20065000,8
20066000,8
20067000,2
20070000,8
20072000,9
20073000,2
20074000,1
20075000,1
20076000,1
20077000,4
20078000,9
20081000,9
20082000,4
20083000,5
20084000,4
20085000,6
20086000,4
20087000,9
20089000,5
20090000,0
20092000,9
20093000,8
20096000,2
20097000,4
20098000,7
20101000,6
20102000,2
20103000,4
20104000,9
20107000,8
20110000,8
20111000,9
20112000,8
20113000,1
20114000,9
20116000,2
20117000,2
20118000,0
20119000,2
20120000,7
20121000,4
20124000,2
20125000,2
20126000,6
20127000,9
20128000,6
20131000,9
20132000,6
20135000,7
20136000,9
20137000,4
20138000,5
20140000,4
20142000,2
20144000,2
20145000,2
20146000,1
20148000,2
20149000,2
20150000,0
20151000,1
20152000,2
20153000,2
20154000,2
20155000,2
20156000,2
20157000,4
20158000,0
20159000,1
20160000,5
20161000,7
20162000,6
20163000,6
20164000,6
20168000,6
20170000,9
20172000,4
20175000,9
20177000,9
20178000,1
20180000,4
20181000,9
20182000,6
20185000,9
20188000,6
20189000,9
20191000,4
20193000,6
20196000,6
20197000,8
20198000,9
20200000,9
20201000,5
20203000,9
20204000,7
20205000,4
20207000,9
20208000,0
20209000,0
20210000,4
20211000,7
20212000,4
20213000,4
20215000,4
20216000,4
20218000,0
20219000,0
20220000,6
20222000,4
20223000,1
20224000,4
20225000,2
20226000,1
20227000,1
20228000,7
20229000,9
20230000,0
20231000,2
20232000,9
20234000,4
20236000,4
20237000,4
20238000,6
20239000,9
20240000,6
20241000,9
20242000,1
20243000,4
20244000,6
20245000,6
20246000,4
20247000,6
20250000,9
20252000,1
20257000,9
20258000,8
20259000,9
20262000,9
20263000,6
20264000,0
20267000,4
20268000,5
20269000,0
20271000,7
20272000,6
20273000,6
20274000,4
20281000,2
20282000,0
20284000,4
20285000,0
20288000,2
20289000,1
20291000,1
20295000,8
20296000,0
20298000,8
20299000,5
20300000,5
20301000,6
20302000,5
20303000,7
20304000,7
20305000,5
20306000,1
20308000,1
20310000,0
20313000,9
20314000,4
20315000,8
20316000,7
20319000,0
20320000,5
20321000,0
20322000,2
20323000,0
20324000,4
20325000,7
20328000,3
20329000,5
20330000,8
20332000,7
20333000,1
20334000,0
20338000,0
20340000,4
20341000,7
20342000,0
20344000,7
20345000,2
20347000,4
20348000,0
20349000,0
20352000,6
20353000,9
20355000,7
20356000,7
20357000,2
20358000,1
20359000,0
20360000,2
20361000,7
20362000,0
20363000,1
20364000,7
20365000,0
20366000,0
20369000,1
20370000,7
20371000,0
20372000,0
20373000,0
20375000,1
20376000,7
20377000,0
20378000,0
20379000,4
20380000,7
20381000,7
20382000,7
20383000,0
20384000,1
20385000,0
20386000,0
20387000,7
20390000,0
20392000,0
20393000,2
20394000,2
20395000,2
20400000,2
20401000,4
20402000,2
20403000,1
20404000,7
20405000,2
20406000,2
20407000,2
20408000,8
20409000,4
20410000,0
20411000,2
20412000,7
20413000,0
20414000,0
