cnn_sgmt_pkey,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,cyc_ntwrk_yn,speed_limit,pk_metered_cnt,pk_on_st_cnt,oneway_yn,daily_ride_qrt,facility_type,surface_type,sharrow,Cluster_x,Cluster_y,Score_y2,Scale_Score_y2
100000,30731000,24666000,NO,25.0,17.0,14.0,YES,143701.0,missing,missing,missing,3.0,3.0,6.766429479706735e-05,50.057783451409136
101000,24666000,24564000,NO,25.0,16.0,9.0,YES,124386.0,missing,missing,missing,3.0,3.0,6.766429479706735e-05,50.057783451409136
102000,24564000,24530000,NO,25.0,14.0,6.0,YES,118965.0,missing,missing,missing,3.0,4.0,6.756829510388646e-05,50.04509923424288
103000,24530000,24563000,NO,25.0,12.0,8.0,YES,119853.0,missing,missing,missing,4.0,5.0,6.769683783200787e-05,50.06207920337667
104001,24563000,54001000,NO,25.0,1.0,0.0,YES,82917.0,missing,missing,missing,5.0,4.0,8.26100939430816e-05,51.84076736550864
104002,54001000,24542000,NO,25.0,1.0,0.0,YES,82433.0,missing,missing,missing,4.0,5.0,7.678965232768407e-05,51.188032879610944
105000,24542000,24534000,NO,25.0,9.0,13.0,YES,81940.0,missing,missing,missing,5.0,2.0,7.296345767051894e-05,50.731406647828706
106000,24534000,24532000,NO,25.0,9.0,7.0,YES,78643.0,missing,missing,missing,2.0,4.0,6.771153307525396e-05,50.06401833096085
107000,24532000,24528000,NO,25.0,18.0,15.0,YES,62534.0,missing,missing,missing,4.0,3.0,6.760860438742805e-05,50.05042740000444
108001,24528000,24526000,NO,25.0,18.0,12.0,YES,43461.0,missing,missing,missing,3.0,3.0,6.881008230101722e-05,50.20779969326172
110000,24526000,24522000,NO,25.0,16.0,12.0,YES,46819.0,missing,missing,missing,3.0,3.0,6.881008230101722e-05,50.20779969326172
111000,24522000,24500000,NO,25.0,13.0,12.0,YES,46359.0,missing,missing,missing,3.0,4.0,6.956026207841972e-05,50.30467245975247
112000,24500000,24499000,NO,25.0,14.0,12.0,YES,44170.0,missing,missing,missing,4.0,5.0,6.968880480654115e-05,50.321166629476636
113000,24499000,24494000,NO,25.0,8.0,7.0,YES,42885.0,missing,missing,missing,5.0,0.0,7.420126519794832e-05,50.88169826609479
114000,24494000,50034000,NO,25.0,0.0,0.0,YES,42394.0,missing,missing,missing,0.0,3.0,0.00016194756416648793,57.85459518303105
115001,35003000,24478000,NO,25.0,0.0,14.0,NO,20206.0,missing,missing,missing,5.0,0.0,0.000271438502732489,62.46866683170133
116001,24478000,54007000,NO,25.0,0.0,3.0,NO,19420.0,missing,missing,missing,0.0,0.0,0.00026039234050541984,62.09749460200295
116002,54007000,23600000,NO,25.0,0.0,21.0,NO,17987.0,missing,missing,missing,0.0,3.0,0.0002718164154413818,62.48109659953674
165000,24616000,24613000,NO,25.0,4.0,4.0,YES,249431.0,missing,missing,missing,5.0,0.0,7.296837030809138e-05,50.7320081536289
185204,34161000,54090000,NO,25.0,0.0,0.0,NO,15989.0,missing,missing,missing,3.0,3.0,0.000598509397365328,69.53282633525909
185206,54091000,23578000,NO,25.0,0.0,0.0,NO,19715.0,missing,missing,missing,3.0,0.0,0.0003711767806246021,65.26449285896781
185207,54090000,34162000,NO,25.0,0.0,0.0,NO,30380.5,missing,missing,missing,3.0,1.0,0.00017780953175671992,58.68938946722483
186101,23578000,23572000,NO,30.0,0.0,0.0,NO,29786.0,missing,missing,missing,0.0,0.0,0.00016208907036202092,57.862398091025085
186201,23578000,23572000,NO,30.0,0.0,0.0,NO,29786.0,missing,missing,missing,0.0,0.0,0.00016208907036202092,57.862398091025085
187101,23572000,23570000,NO,30.0,0.0,0.0,NO,27777.0,missing,missing,missing,0.0,2.0,0.00016098606026500973,57.80139487048585
187201,23572000,23570000,NO,30.0,0.0,0.0,NO,27777.0,missing,missing,missing,0.0,2.0,0.00016098606026500973,57.80139487048585
188101,23570000,23567000,NO,30.0,0.0,35.0,NO,27766.0,missing,missing,missing,2.0,0.0,0.0001246945634823851,55.51920423596755
188201,23570000,23567000,NO,30.0,0.0,0.0,NO,27766.0,missing,missing,missing,2.0,0.0,0.00017146268297026974,58.36466348492395
117000,23600000,50091000,NO,25.0,0.0,44.0,NO,13063.0,missing,missing,missing,3.0,1.0,0.00036678471911469893,65.1581483786553
189201,23567000,23564000,NO,30.0,0.0,0.0,NO,27869.0,missing,missing,missing,0.0,5.0,0.00017199786984258922,58.39250571739919
190101,23564000,23555000,NO,30.0,0.0,27.0,NO,36451.0,missing,missing,missing,5.0,5.0,0.0001334891754281849,56.12808319895005
190201,23564000,23555000,NO,30.0,0.0,0.0,NO,36451.0,missing,missing,missing,5.0,5.0,0.00018898380721923068,59.23390147331072
203201,20238000,20231000,YES,30.0,0.0,0.0,NO,33398.0,BIKE ROUTE,missing,YES,1.0,0.0,0.00014766679294085197,57.029861080722696
204101,20231000,20227000,YES,30.0,0.0,0.0,NO,37357.0,BIKE ROUTE,missing,YES,0.0,3.0,0.0001426133500251484,56.71876894551521
204201,20231000,20227000,YES,30.0,0.0,0.0,NO,37357.0,BIKE ROUTE,missing,YES,0.0,3.0,0.0001426133500251484,56.71876894551521
205201,20227000,20229000,YES,30.0,0.0,0.0,NO,40027.0,BIKE ROUTE,missing,YES,3.0,1.0,0.00014761798407014748,57.02690760896854
206101,20229000,20230000,YES,30.0,0.0,0.0,NO,35497.0,BIKE ROUTE,missing,YES,1.0,6.0,0.00021019121956334334,60.18408729814783
206102,20230000,20219000,YES,30.0,0.0,0.0,NO,38085.0,BIKE ROUTE,missing,YES,6.0,5.0,0.00017765493957442083,58.681618653969934
206201,20229000,20219000,YES,30.0,0.0,0.0,NO,39679.0,BIKE ROUTE,missing,YES,1.0,5.0,0.0002044288106630953,59.93574146674132
207101,20219000,20223000,YES,30.0,0.0,0.0,NO,32545.0,BIKE ROUTE,missing,YES,5.0,5.0,0.00017054756920554474,58.31685421453851
207201,20219000,20223000,YES,30.0,0.0,0.0,NO,33401.0,BIKE ROUTE,missing,YES,5.0,5.0,0.00017054756920554474,58.31685421453851
208101,20223000,20224000,YES,25.0,0.0,0.0,NO,48512.0,BIKE ROUTE,missing,YES,5.0,5.0,0.0001651891924583695,58.03165630100665
208201,20223000,20224000,YES,25.0,0.0,0.0,NO,48512.0,BIKE ROUTE,missing,YES,5.0,5.0,0.0001651891924583695,58.03165630100665
209201,20224000,20213000,YES,25.0,0.0,0.0,NO,50774.0,BIKE ROUTE,missing,YES,5.0,5.0,0.0001651891924583695,58.03165630100665
210101,20213000,20660000,YES,25.0,7.0,15.0,NO,54731.0,BIKE ROUTE,missing,YES,5.0,4.0,7.147429697516015e-05,50.547180470007845
210201,20213000,20660000,YES,25.0,7.0,0.0,NO,54731.0,BIKE ROUTE,missing,YES,5.0,4.0,7.972002008259702e-05,51.52261814953012
211101,20660000,20659000,YES,25.0,8.0,15.0,NO,50534.0,BIKE ROUTE,missing,YES,4.0,4.0,7.05798213459627e-05,50.43466932623821
211201,20660000,20659000,YES,25.0,7.0,0.0,NO,50534.0,BIKE ROUTE,missing,YES,4.0,4.0,7.714153895464834e-05,51.22887911209396
214101,20496000,20498000,YES,25.0,8.0,16.0,NO,54332.0,BIKE ROUTE,missing,YES,5.0,0.0,7.130529066265696e-05,50.52603038476461
217101,20502000,20508000,YES,30.0,2.0,0.0,NO,46204.0,BIKE ROUTE,missing,YES,5.0,3.0,7.938304713786266e-05,51.48477456665813
221201,20485000,20491000,YES,30.0,0.0,0.0,NO,29314.0,BIKE ROUTE,missing,YES,5.0,0.0,0.00019217084689004005,59.38330865732485
222101,20491000,20493000,YES,30.0,0.0,13.0,NO,34663.0,BIKE ROUTE,missing,YES,0.0,5.0,0.00013542683731980313,56.25683222942372
224101,20517000,20489000,YES,30.0,0.0,0.0,NO,33897.0,BIKE ROUTE,missing,YES,1.0,5.0,0.0002044288106630953,59.93574146674132
224201,20517000,20489000,YES,30.0,0.0,0.0,NO,34414.0,BIKE ROUTE,missing,YES,1.0,5.0,0.0002044288106630953,59.93574146674132
226201,20457000,20455000,YES,30.0,0.0,0.0,NO,30279.0,BIKE ROUTE,missing,YES,5.0,5.0,0.00017054756920554474,58.31685421453851
231201,20460000,20466000,YES,30.0,0.0,0.0,NO,33076.0,BIKE ROUTE,missing,missing,0.0,5.0,0.000279891228914931,62.742631485586415
232101,20466000,20467000,YES,30.0,0.0,0.0,NO,28113.0,BIKE ROUTE,missing,missing,5.0,0.0,0.0001986323220798026,59.67876158621846
232201,20466000,20467000,YES,30.0,0.0,0.0,NO,28113.0,BIKE ROUTE,missing,missing,5.0,0.0,0.0001986323220798026,59.67876158621846
233101,20467000,20465000,YES,30.0,0.0,0.0,NO,27147.0,BIKE ROUTE,missing,NO,0.0,5.0,0.0004517404269061697,67.01938880492222
233202,20467000,53010000,YES,25.0,0.0,0.0,NO,36810.0,BIKE ROUTE,missing,NO,0.0,2.0,0.00023764819271310272,61.280945555737176
244000,27241000,27238000,NO,25.0,0.0,33.0,NO,44002.0,missing,missing,missing,5.0,2.0,0.00012303486774027918,55.39949366872743
245000,27238000,27237000,NO,25.0,0.0,40.0,NO,46148.0,missing,missing,missing,2.0,5.0,0.00011968831787189609,55.153123185380664
246000,27194000,27082000,NO,25.0,0.0,0.0,NO,29798.0,missing,missing,missing,3.0,5.0,0.00018244546216969357,58.919335536192435
