case,latitude,longitude,collision_time
1995083,37.76519864,-122.4172297,08:51
2415127,37.74593566,-122.4508604,11:42
2624857,37.76616579,-122.4600164,17:29
3049670,37.7833791,-122.4169803,08:07
3216691,37.76404796,-122.4641662,18:41
3309837,37.75062668,-122.4182866,13:12
3416587,37.78503333,-122.4415574,21:55
3496225,37.77993632,-122.4151569,15:35
3497585,37.78141568,-122.4154568,00:23
3892951,37.77161707,-122.4438881,19:12
3893045,37.78589183,-122.3962623,11:05
4041431,37.78585812,-122.4824972,13:20
4197124,37.7569362,-122.4205494,10:14
4254864,37.78781143,-122.4201272,08:54
4268426,37.78559236,-122.4446765,13:24
4280965,37.78339984,-122.399418,11:45
4427210,37.77966042,-122.4070612,17:04
1995268,37.77157868,-122.4112779,11:16
5071089,37.74994622,-122.4933717,16:34
5097559,37.78866198,-122.4019929,14:30
5127681,37.76835777,-122.4077464,13:45
5189928,37.7453105,-122.4611264,00:15
5205339,37.7088741,-122.4304003,19:03
5208154,37.75358266,-122.4024691,19:00
5209307,37.79603845,-122.421787,11:50
5271749,37.77343948,-122.41881,14:17
5734812,37.77965963,-122.4387402,17:57
6059071,37.76004513,-122.4438987,21:00
2022667,37.79173199,-122.3950797,17:06
2067291,37.77006573,-122.4851681,14:10
2187358,37.77749871,-122.4181444,14:50
2237433,37.75011834,-122.390433,14:33
2415174,37.78225504,-122.4393165,17:10
2434593,37.76401386,-122.5094473,13:48
2637841,37.73972429,-122.4240795,15:15
2814038,37.77089158,-122.4178555,18:15
3011276,37.79184209,-122.3949402,13:25
3123297,37.78153212,-122.4094139,18:38
3199990,37.78350725,-122.4141978,20:34
3319369,37.78814872,-122.4168213,10:30
3336180,37.78153561,-122.4239178,18:17
3437402,37.74102741,-122.4228406,15:50
3603507,37.77788537,-122.4226043,11:10
3724669,37.7748711,-122.4462837,15:42
3741087,37.78345829,-122.4849797,16:02
3808496,37.7473542,-122.4104952,13:50
3873367,37.79091666,-122.4027908,09:25
3954783,37.72956659,-122.486534,13:45
3990136,37.76946255,-122.4062134,20:50
4077733,37.72414558,-122.4572423,13:20
4098600,37.78911523,-122.4321967,22:17
4196334,37.78198661,-122.4856928,17:15
4254852,37.7779193,-122.4298492,14:18
4399334,37.72296132,-122.4495586,08:56
