gid,cnn_intrsctn_pkey,latitude,longitude,intrsctn_trnsprtn_pkey,bike_trips_05_taz,bike_trips_05_taz_d,daily_ride_qrt,daily_ride_egt,ped_vol_ann,ped_vol_24h,walktrips_05_taz,walktrips_05_taz_d
"0","20006000",37.70941911820,-122.38250569300,"0","0","5065",,,"333782","914","0","30726"
"1","20010000",37.71555762060,-122.38943767500,"1","42","5065","2626","501","33059","91","146","30726"
"2","20011000",37.71629821620,-122.38813051000,"2","0","5065","2953","1325","166053","455","0","30726"
"3","20013000",37.71608698580,-122.38897780300,"3","42","5065","2789","662","53576","147","146","30726"
"4","20034000",37.72856817560,-122.37035235100,"4","35","5065","1620","539","101398","278","38","30726"
"5","20039000",37.72925450480,-122.37258355500,"5","35","5065","2440","1228","166627","457","38","30726"
"6","20041000",37.72987387480,-122.37200569800,"6","186","5065","3162","1732","85723","235","654","30726"
"7","20044000",37.73017667720,-122.37421733400,"7","186","5065","4936","2249","88530","243","654","30726"
"8","20046000",37.72965969410,-122.37492808100,"8","186","5065","4763","1991","89400","245","654","30726"
"9","20051000",37.71568214370,-122.38197100400,"9","0","5065","503","0","333466","914","1","30726"
"10","20056000",37.73093607130,-122.37389036500,"10","39","5065","4532","2231","23638","65","93","30726"
"11","20057000",37.73156106480,-122.37332627800,"11","39","5065","3708","1441","202392","554","93","30726"
"12","20058000",37.73001582740,-122.37720261300,"12","186","5065","8574","2250","244136","669","654","30726"
"13","20060000",37.73100987150,-122.37699954500,"13","186","5065","11791","5638","138748","380","654","30726"
"14","20061000",37.73338073350,-122.37993172600,"14","138","5065","14085","7155","108508","297","1233","30726"
"15","20064000",37.72948884670,-122.38139912100,"15","186","5065","8896","2482","235145","644","654","30726"
"16","20065000",37.72823178560,-122.37917473900,"16","35","5065","5125","1344","71725","197","38","30726"
"17","20066000",37.72894233360,-122.37854175100,"17","186","5065","6251","1630","72634","199","654","30726"
"18","20067000",37.72636351620,-122.38081711200,"18","27","5065","2133","338","365755","1002","116","30726"
"19","20070000",37.72510825160,-122.38193850000,"19","4","5065","2584","178","389230","1066","22","30726"
"20","20072000",37.72778541360,-122.37999185800,"20","27","5065","3886","1028","290755","797","116","30726"
"21","20073000",37.72761779390,-122.37969655700,"21","0","5065","2698","685","315800","865","3","30726"
"22","20074000",37.72780466250,-122.38169092300,"22","27","5065","4284","1106","391011","1071","116","30726"
"23","20075000",37.72699065630,-122.38025683900,"23","27","5065","2520","709","373136","1022","116","30726"
"24","20076000",37.72721672870,-122.38232027800,"24","27","5065","4260","659","350209","959","116","30726"
"25","20077000",37.73110941550,-122.37955189300,"25","138","5065","11986","3368","214586","588","1233","30726"
"26","20078000",37.73167941120,-122.37934710900,"26","138","5065","12848","3986","121486","333","1233","30726"
"27","20081000",37.73071900560,-122.37990119300,"27","186","5065","11716","3240","147870","405","654","30726"
"28","20082000",37.73090117510,-122.38014904900,"28","138","5065","12440","3141","216359","593","1233","30726"
"29","20083000",37.73128290350,-122.37993438000,"29","138","5065","12242","3186","260646","714","1233","30726"
"30","20084000",37.73170169840,-122.37968366700,"30","138","5065","13039","4054","177888","487","1233","30726"
"31","20085000",37.73246457240,-122.37959606300,"31","186","5065","12632","5373","109777","301","654","30726"
"32","20086000",37.73403385260,-122.38128418200,"32","138","5065","15902","7488","176851","485","1233","30726"
"33","20087000",37.73242217450,-122.38018458900,"33","138","5065","15064","6842","214129","587","1233","30726"
"34","20089000",37.73138778770,-122.38114651100,"34","138","5065","14285","4259","264609","725","1233","30726"
"35","20090000",37.73207905200,-122.38052891400,"35","138","5065","14307","5045","315143","863","1233","30726"
"36","20092000",37.71840736400,-122.38515706200,"36","0","5065","1486","503","352166","965","1","30726"
"37","20093000",37.72074631270,-122.38586906800,"37","51","5065","2406","0","357591","980","280","30726"
"38","20096000",37.71823564290,-122.38813686700,"38","51","5065","4294","2684","337709","925","280","30726"
"39","20097000",37.71750900160,-122.38684966700,"39","51","5065","3351","1529","297854","816","280","30726"
"40","20098000",37.72005454760,-122.38560901200,"40","51","5065","2962","492","295067","808","280","30726"
"41","20099000",37.72012444550,-122.38856405500,"41","51","5065","4348","1440","285299","782","280","30726"
"42","20100000",37.72035702490,-122.38624313800,"42","51","5065","3433","697","298080","817","280","30726"
"43","20101000",37.71687930400,-122.38913596200,"43","42","5065","3116","1489","116833","320","146","30726"
"44","20102000",37.71749791480,-122.39020502600,"44","64","5065","4348","2123","51379","141","510","30726"
"45","20103000",37.71696129510,-122.38927765500,"45","42","5065","3527","1871","66691","183","146","30726"
"46","20104000",37.71967750020,-122.38913920100,"46","64","5065","4348","1769","288523","790","510","30726"
"47","20105000",37.71876049810,-122.38766133300,"47","51","5065","3997","1735","279259","765","280","30726"
"48","20107000",37.71992742620,-122.38945904500,"48","64","5065","5496","2028","318839","874","510","30726"
"49","20108000",37.72069280470,-122.38805581900,"49","51","5065","4014","700","280591","769","280","30726"
"50","20110000",37.72181325960,-122.38774624700,"50","51","5065","3546","0","67603","185","280","30726"
"51","20111000",37.72117507040,-122.38833333100,"51","51","5065","4239","1017","39063","107","280","30726"
"52","20112000",37.72303967280,-122.38662765600,"52","3","5065","1167","0","114479","314","22","30726"
"53","20113000",37.72410023440,-122.38849620800,"53","30","5065","6659","271","387403","1061","170","30726"
"54","20114000",37.72348161910,-122.38905268100,"54","30","5065","7749","0","392773","1076","170","30726"
"55","20116000",37.72573637290,-122.38137737400,"55","4","5065","2045","56","395627","1084","22","30726"
"56","20117000",37.72805144410,-122.38212570600,"56","56","5065","5148","1476","248091","680","265","30726"
"57","20118000",37.72867801290,-122.38156441500,"57","56","5065","6211","1897","253187","694","265","30726"
"58","20119000",37.72679829770,-122.38324826200,"58","27","5065","4946","709","380622","1043","116","30726"
"59","20120000",37.72742487220,-122.38268699000,"59","27","5065","5533","1270","354038","970","116","30726"
"60","20121000",37.72617077940,-122.38381036900,"60","4","5065","4493","1152","337617","925","22","30726"
"61","20124000",37.72785999350,-122.38511885100,"61","32","5065","7156","2126","300356","823","139","30726"
"62","20125000",37.72848584910,-122.38455630600,"62","56","5065","8325","2843","338169","926","265","30726"
"63","20126000",37.73058171860,-122.38143938900,"63","186","5065","13077","2612","150143","411","654","30726"
"64","20127000",37.73061959260,-122.38227021800,"64","138","5065","15691","2236","125690","344","1233","30726"
"7732","35056000",37.72783247650,-122.42335239500,"7732",,,,,,,,
"65","20128000",37.73117466080,-122.38160814300,"65","138","5065","13744","2127","137582","377","1233","30726"
"66","20131000",37.73034197130,-122.38288787200,"66","138","5065","15175","2365","125917","345","1233","30726"
"67","20132000",37.73152913570,-122.38194855700,"67","138","5065","17966","5490","137913","378","1233","30726"
"68","20135000",37.72911170300,-122.38399374900,"68","56","5065","8507","2570","260124","713","265","30726"
"69","20136000",37.72973755310,-122.38343118400,"69","56","5065","12349","2762","124385","341","265","30726"
"70","20137000",37.73265190330,-122.38427945200,"70","138","5065","17557","6688","151452","415","1233","30726"
"71","20138000",37.73235215320,-122.38449506700,"71","138","5065","17385","7763","137508","377","1233","30726"
"72","20140000",37.73079081460,-122.38528699500,"72","54","5065","20417","4653","71414","196","336","30726"
"73","20142000",37.72535410430,-122.38736826200,"73","32","5065","5072","1435","360445","988","139","30726"
"74","20144000",37.72598566670,-122.38680010700,"74","32","5065","6013","2469","368098","1008","139","30726"
"75","20145000",37.72660616460,-122.38624189300,"75","32","5065","5190","2557","343300","941","139","30726"
