cnn_sgmt_fkey,num_collisions,num_cases_injury_other_visible,num_cases_complaint_of_pain,num_cases_severe,num_cases_fatal,cnn_sgmt_pkey,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,cyc_ntwrk_yn,speed_limit,pk_metered_cnt,pk_on_st_cnt,oneway_yn,daily_ride_qrt,facility_type,surface_type,sharrow,y
101000.0,1,1,0,0,0,101000,24666000,24564000,NO,25.0,16.0,9.0,YES,124386.0,,,,8.039489974756002e-06
104002.0,1,1,0,0,0,104002,54001000,24542000,NO,25.0,1.0,0.0,YES,82433.0,,,,1.213106401562481e-05
129000.0,3,3,0,0,0,129000,30734000,24618000,YES,25.0,5.0,9.0,NO,179865.0,BIKE LANE,GREEN PAINT,NO,1.6679176048703194e-05
130000.0,1,0,1,0,0,130000,24618000,24605000,YES,25.0,5.0,5.0,NO,189071.0,BIKE LANE,,NO,5.289018411073089e-06
131000.0,1,1,0,0,0,131000,24605000,24597000,YES,25.0,12.0,12.0,NO,179302.0,BIKE LANE,GREEN PAINT,NO,5.577182630422416e-06
133000.0,1,1,0,0,0,133000,24594000,24543000,YES,25.0,18.0,12.0,NO,163574.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES,6.113441011407681e-06
134000.0,1,1,0,0,0,134000,24543000,24540000,YES,25.0,13.0,12.0,NO,157739.0,BIKE LANE,GREEN PAINT,NO,6.339586278599459e-06
136000.0,2,1,1,0,0,136000,24539000,24535000,YES,25.0,15.0,13.0,NO,55550.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES,3.6003600360036005e-05
139000.0,1,0,1,0,0,139000,24511000,24510000,YES,25.0,25.0,17.0,NO,62002.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES,1.6128511983484405e-05
140000.0,1,0,0,0,0,140000,24510000,24492000,YES,25.0,18.0,16.0,NO,54567.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES,1.8326094525995565e-05
148000.0,1,0,1,0,0,148000,23800000,23589000,YES,25.0,18.0,17.0,NO,27487.0,BIKE LANE,,NO,3.638083457634518e-05
165000.0,1,1,0,0,0,165000,24616000,24613000,NO,25.0,4.0,4.0,YES,249431.0,,,,4.009124767971904e-06
166000.0,1,0,1,0,0,166000,24613000,24609000,NO,25.0,7.0,6.0,YES,197387.0,,,,5.06618976933638e-06
167000.0,1,1,0,0,0,167000,24609000,24590000,NO,25.0,17.0,17.0,YES,211419.0,,,,4.729943855566434e-06
170000.0,1,1,0,0,0,170000,24583000,24592000,NO,25.0,34.0,32.0,YES,78895.0,,,,1.2675074466062488e-05
