cnn_sgmt_fkey,case_id_pkey,pcf_viol_category_is_st,cs_injury_4,cs_injury_3,cs_injury_2,cs_injury_1,road_cond_new_1,road_cond_new_2,road_cond_new_3,road_cond_new_4,road_cond_new_5,daily_ride_qrt,daily_ride_eght,speed_avg_mta,y_1,y_2
101000.0,1,0,1,0,0,0,0,0,0,0,0,124386.0,27553.0,,8.039489974756002e-06,3.6293688527565054e-05
104002.0,1,0,1,0,0,0,0,0,0,0,0,82433.0,24254.0,,1.213106401562481e-05,4.1230312525768946e-05
129000.0,3,1,3,0,0,0,0,0,0,0,0,539595.0,219624.0,,5.559725349567731e-06,1.365970932138564e-05
130000.0,1,0,0,1,0,0,0,0,0,0,0,189071.0,73208.0,,5.289018411073089e-06,1.365970932138564e-05
131000.0,1,0,1,0,0,0,0,0,0,0,0,179302.0,67625.0,,5.577182630422416e-06,1.478743068391867e-05
133000.0,1,0,1,0,0,0,0,0,0,0,0,163574.0,14796.0,,6.113441011407681e-06,6.758583400919168e-05
134000.0,1,0,1,0,0,0,0,0,0,0,0,157739.0,9195.0,,6.339586278599459e-06,0.0001087547580206634
136000.0,2,0,1,1,0,0,0,0,0,0,0,111100.0,23370.0,,1.8001800180018002e-05,8.557980316645271e-05
139000.0,1,0,0,1,0,0,0,0,0,0,0,62002.0,13781.0,,1.6128511983484405e-05,7.256367462448299e-05
140000.0,1,0,0,0,0,0,0,0,0,0,0,54567.0,18544.0,,1.8326094525995565e-05,5.392579810181191e-05
148000.0,1,0,0,1,0,0,0,0,0,0,0,27487.0,2232.0,,3.638083457634518e-05,0.00044802867383512545
165000.0,1,0,1,0,0,0,0,0,0,0,0,249431.0,55134.0,,4.009124767971904e-06,1.813762832372039e-05
166000.0,1,1,0,1,0,0,0,0,0,0,0,197387.0,36546.0,,5.06618976933638e-06,2.7362775679964975e-05
167000.0,1,0,1,0,0,0,0,0,0,0,0,211419.0,39746.0,,4.729943855566434e-06,2.5159764504604236e-05
170000.0,1,0,1,0,0,0,0,0,0,0,0,78895.0,31534.0,,1.2675074466062488e-05,3.171180313312615e-05
171000.0,1,0,0,1,0,0,0,0,0,0,0,82655.0,20157.0,,1.209848164055411e-05,4.961055712655653e-05
179000.0,1,0,0,1,0,0,0,0,0,0,0,70999.0,12059.0,,1.4084705418386174e-05,8.292561572269674e-05
180000.0,1,0,0,1,0,0,0,0,0,0,0,53263.0,8117.0,,1.8774759213713084e-05,0.00012319822594554638
184101.0,1,1,1,0,0,0,0,0,0,0,0,15964.0,7973.0,,6.264094211976948e-05,0.00012542330364981815
186201.0,1,1,1,0,0,0,0,0,0,0,0,29786.0,17344.0,,3.357281944537702e-05,5.765682656826568e-05
197101.0,1,0,0,1,0,0,0,0,0,0,0,26008.0,15193.0,,3.844970778222086e-05,6.58197854274995e-05
197201.0,1,0,1,0,0,0,0,0,0,0,0,26008.0,15193.0,,3.844970778222086e-05,6.58197854274995e-05
209101.0,1,0,0,1,0,0,0,1,0,0,0,50774.0,13187.0,,1.9695119549375665e-05,7.58322590429969e-05
212101.0,1,0,0,1,0,0,0,0,0,0,0,52065.0,26358.0,,1.9206760779794487e-05,3.793914561044085e-05
219101.0,1,0,1,0,0,0,0,0,0,0,0,32141.0,20200.0,,3.1112908745838646e-05,4.950495049504951e-05
229201.0,1,1,0,1,0,0,0,0,0,0,0,28002.0,15298.0,,3.571173487608028e-05,6.536802196365538e-05
246000.0,1,0,0,1,0,0,0,0,0,0,0,29798.0,5052.0,,3.3559299281830995e-05,0.0001979414093428345
248000.0,1,0,1,0,0,0,0,0,0,0,0,37417.0,13039.0,,2.672581981452281e-05,7.669299792928905e-05
