latitude,longitude,Severity,Hour,Lane
37.76519864,-122.4172297,0,8,No
37.74593566,-122.4508604,0,11,No
37.76616579,-122.4600164,0,17,Yes
37.7833791,-122.4169803,0,8,No
37.76404796,-122.4641662,1,18,Yes
37.75062668,-122.4182866,0,13,No
37.78503333,-122.4415574,1,21,No
37.77993632,-122.4151569,1,15,No
37.78141568,-122.4154568,2,0,No
37.77161707,-122.4438881,1,19,No
37.78589183,-122.3962623,1,11,Yes
37.78585812,-122.4824972,1,13,Yes
37.7569362,-122.4205494,0,10,No
37.78781143,-122.4201272,1,8,Yes
37.78559236,-122.4446765,2,13,No
37.78339984,-122.399418,0,11,Yes
37.77966042,-122.4070612,0,17,No
37.77157868,-122.4112779,0,11,No
37.74994622,-122.4933717,1,16,No
37.78866198,-122.4019929,1,14,No
37.76835777,-122.4077464,1,13,No
37.7453105,-122.4611264,3,0,No
37.7088741,-122.4304003,0,19,No
37.75358266,-122.4024691,1,19,Yes
37.79603845,-122.421787,1,11,Yes
37.77343948,-122.41881,1,14,No
37.77965963,-122.4387402,1,17,No
37.76004513,-122.4438987,1,21,No
37.79173199,-122.3950797,1,17,No
37.77006573,-122.4851681,1,14,Yes
37.77749871,-122.4181444,1,14,No
37.75011834,-122.390433,3,14,Yes
37.78225504,-122.4393165,0,17,No
37.76401386,-122.5094473,0,13,Yes
37.73972429,-122.4240795,0,15,Yes
37.77089158,-122.4178555,0,18,No
37.79184209,-122.3949402,0,13,No
37.78153212,-122.4094139,0,18,No
37.78350725,-122.4141978,2,20,No
37.78814872,-122.4168213,0,10,No
37.78153561,-122.4239178,1,18,No
37.74102741,-122.4228406,0,15,No
37.77788537,-122.4226043,0,11,Yes
37.7748711,-122.4462837,1,15,No
37.78345829,-122.4849797,1,16,No
37.7473542,-122.4104952,0,13,No
37.79091666,-122.4027908,1,9,No
37.72956659,-122.486534,0,13,Yes
37.76946255,-122.4062134,0,20,Yes
37.72414558,-122.4572423,0,13,Yes
37.78911523,-122.4321967,1,22,No
37.78198661,-122.4856928,1,17,No
37.7779193,-122.4298492,1,14,Yes
37.72296132,-122.4495586,1,8,Yes
37.72991004,-122.4330084,0,7,Yes
37.75773968,-122.4068107,1,10,Yes
37.77218917,-122.4524375,0,19,No
37.78047851,-122.4125123,2,2,Yes
37.78112562,-122.3882206,0,15,Yes
37.76815059,-122.4220187,2,14,Yes
37.77530626,-122.4652615,1,17,Yes
37.77393834,-122.3989712,1,9,Yes
37.78142923,-122.4154596,1,8,No
